Overheidsinstantie,Titel,Locatie,Wettelijke grondslag,Aantal beschikkingen,Soorten beschikkingen,Integraal of register,Periode,Aanwezige metadata (filters),Laatste update,Type
Centraal Bureau Rijvaardigheidsbewijzen (CBR),Beschikkingen,https://www.cbr.nl/nl/over-het-cbr/over/open-overheid/publicaties-zonder-verzoek,Wet open overheid,39,(her)benoeming,integraal,2024,,2026-02-18,zbo
"College ter Beoordeling van Geneesmiddelen (CBG)",Handelsvergunningen,"https://www.geneesmiddeleninformatiebank.nl/ords/f?p=111:1:0::NO:1:P0_DOMAIN,P0_LANG:H,NL",Geneesmiddelenwet,,vergunning,register,2015-2025,Naam geneesmiddel; Productnaam; Werkzame stof (inclusief synoniemen); Hulpstof (inclusief synoniemen); Bevat geen; Farmaceutische vorm; Toedieningsweg; Afleverstatus; Registratienummer; EU-nummer (Europees registratienummer); EU-nummer; Datum verstrekking handelsvergunning; Datum verstrekking handelsvergunning: (dd-mm-jjjj); Handelsvergunninghouder; Aanvullende monitoring; Additioneel risicominimalisatie materiaal,2026-02-10,zbo
"College van toezicht collectieve beheersorganisaties auteurs- en naburige rechten (CvTA)",Besluiten,https://www.cvta.nl/documentatie/?_documentation_type=besluiten,Wet open overheid,226,"varia (instemming, handhaving)",integraal,2016-2025,jaar; organisatie,2026-02-10,zbo
College voor de toelating van gewasbeschermingsmiddelen en biociden (Ctgb),Toelatingen,https://toelatingen.ctgb.nl/nl/authorisations,,2888,vergunning,register/integraal,2005-2025,categorie; status; gebruikers; werkzame stoffen; toelatingshouders; expiratie; ingangsdatum; toepassingsinfo; doelorganismen(2x); productypes; beschermstoffen; aard werking; toepassingslocaties; toelatingstype,2026-02-18,zbo
De Nederlandsche Bank (DNB),Handhavingsmaatregelen,https://www.dnb.nl/zoekresultaten/?p=1&l=10&it=MjY3MDE,Wet op het financieel toezicht,158,bestuurlijke boete; last onder dwangsom; aanwijzing; wijzigingsbeschikking/intrekking vergunning,integraal,2012-2025,Onderwerp; Onderwerp voor de sector; Sector; Auteur; Jaar,2026-02-17,zbo
Kansspelautoriteit (Ksa),Sanctiebesluiten,https://kansspelautoriteit.nl/sanctiebesluiten,Wet open overheid,529,sanctiebesluiten,integraal,2014-2025,,2025-10-20,zbo
Kansspelautoriteit (Ksa),Vergunningen,https://kansspelautoriteit.nl/kansspelwijzer,Wet open overheid,507,exploitatie speelautomaat,register,nnb,,2025-12-31,zbo
Kansspelautoriteit (Ksa),Vergunningen,https://kansspelautoriteit.nl/kansspelwijzer,Wet open overheid,51,vergunningen,integraal,nnb,,2025-12-31,zbo
Nederlands-Vlaamse Accreditatieorganisatie (NVAO),Accreditaties,https://besluitenrapporten.nvao.net/,Wet open overheid,7217,accreditatie,register/integraal,2011-2025,,,zbo
Nederlandse organisatie voor Wetenschappelijk Onderzoek (NWO),Kennisgevingen steunmaatregelen,https://www.nwo.nl/kennisgevingen-steunmaatregelen,Algemene Groepsvrijstellingsverordening,8,subsidie,integraal,2023-2025,,2026-02-07,zbo
Nederlandse Zorgautoriteit (NZa),Besluit,https://puc.overheid.nl/nza/,Wet open overheid,2752,Beslissing aanmerkelijke marktmacht; Beslissing op bezwaar; Fusiebesluit; Handhavingsbesluit; Intrekkingsbesluit,integraal,2020-2025,,,zbo
Stichting Nederlands Fonds voor de Film (Nederlands Filmfonds),,https://www.filmfonds.nl/toegewezen-bijdragen,,,,,,,,,zbo
